,Make,Brændstoftype,Gearkasse,Model,Kilometer,Årgang,Hestekræfter,Antal døre,Antal gear,Km/l,0 - 100 km/t,Tophastighed,Vægt,Grøn Ejerafgift,Nypris,Pris
787,Chevrolet,Benzin,Manuel,Spark,222000,2012,68,5,5,20.0,15.5,154.0,832.0,660.0,85899.0,19900
5367,Hyundai,Diesel,Automatisk,i40,325000,2012,136,5,6,17.9,12.0,190.0,1.66,5.54,449997.0,74900
14203,Audi,Diesel,Manuel,A4,222000,2012,177,5,6,20.8,8.4,222.0,1.61,3.88,543014.0,139900
11445,Audi,Benzin,Automatisk,S6,130000,2012,420,5,7,10.3,4.7,250.0,1.925,6.82,1361131.0,439800
13026,Opel,Diesel,Manuel,Astra,157000,2012,95,5,6,25.6,14.5,175.0,1.293,2.18,294601.0,66900
5624,Audi,Diesel,Automatisk,Q5,193000,2012,240,5,7,13.3,6.5,225.0,1.865,8.94,1314796.0,229900
13030,Land,Benzin,Automatisk,Rover,81000,2012,240,5,6,11.5,7.6,217.0,1.62,5.58,574000.0,2800
15400,Citroën,Diesel,Manuel,DS3,110000,2012,92,3,5,27.8,11.3,182.0,1.085,2.18,242289.0,59900
7606,Ford,Diesel,Manuel,Focus,203000,2012,115,5,6,23.8,11.0,193.0,1.25,3.02,327699.0,64900
13472,Audi,Diesel,Manuel,A1,123000,2012,90,5,5,26.3,11.6,182.0,1.135,2.18,257886.0,114500
5616,Peugeot,Diesel,Manuel,508,138000,2012,112,5,5,20.8,11.6,188.0,1.578,3.88,359988.0,79900
15393,Fiat,Benzin,Manuel,Panda,126000,2012,60,5,5,20.4,14.0,155.0,835.0,660.0,99990.0,36800
5354,Citroën,Benzin,Manuel,C1,79000,2012,68,5,5,23.3,13.7,157.0,805.0,660.0,99989.0,39900
6826,Ford,Benzin,Manuel,Fiesta,180000,2012,134,3,5,16.9,8.7,195.0,1.045,1.88,210748.0,79900
11427,Citroën,Benzin,Manuel,C1,151000,2012,68,5,5,23.3,13.7,157.0,805.0,660.0,101988.0,29990
5629,Audi,Diesel,Automatisk,Q5,203000,2012,240,5,7,13.3,6.5,225.0,1.865,8.94,469795.0,159800
7757,Citroën,Diesel,Manuel,DS3,130000,2012,92,3,5,27.8,11.3,182.0,1.085,2.18,242289.0,59900
837,Fiat,Benzin,Manuel,500L,73000,2012,95,5,6,16.1,12.8,178.0,1.22,2.52,204990.0,59900
2480,Fiat,Benzin,Manuel,500,149000,2012,85,3,5,25.0,11.0,173.0,905.0,660.0,183989.0,47900
11378,Fiat,Benzin,Manuel,Panda,192000,2012,65,5,5,23.8,15.0,157.0,975.0,660.0,99989.0,27800
11404,Fiat,Benzin,Manuel,500C,105000,2012,69,2,5,20.8,12.9,160.0,985.0,660.0,214991.0,64900
13339,Peugeot,Benzin,Manuel,107,88000,2012,68,5,5,22.2,13.7,157.0,905.0,660.0,101491.0,39900
5336,Renault,Diesel,Manuel,Grand,286000,2012,110,5,6,24.4,12.8,180.0,1.447,3.02,331900.0,59900
1416,Volvo,Diesel,Automatisk,XC60,243000,2012,215,5,6,14.7,8.8,205.0,1.715,8.1,880902.0,189700
15446,VW,Benzin,Automatisk,Golf,135000,2012,122,5,7,16.7,9.5,200.0,1.216,1.88,299002.0,109700
7049,Fiat,Benzin,Manuel,Panda,48000,2012,85,5,5,24.4,12.0,173.0,975.0,660.0,149990.0,79900
903,Audi,Diesel,Manuel,A3,233000,2012,140,3,6,22.7,8.9,210.0,1.34,3.02,323906.0,69500
5653,Renault,Diesel,Manuel,Twingo,180000,2012,75,3,5,29.4,13.5,170.0,1.055,1.22,119902.0,29500
5341,VW,Diesel,Manuel,Caravelle,489000,2012,140,4,6,13.3,14.2,173.0,2.041,8.94,691498.0,174900
5918,Ford,Diesel,Manuel,Mondeo,142000,2012,115,5,6,23.3,11.2,190.0,1.405,3.02,399895.0,84800
12530,Peugeot,Benzin,Manuel,308,120000,2012,120,5,5,15.6,11.5,189.0,1.395,2.52,244990.0,59900
12521,Honda,Benzin,Automatisk,CR-V,93000,2012,150,5,5,11.9,12.2,177.0,1.505,4.96,339999.0,139900
7047,Mercedes,Diesel,Automatisk,C250,436000,2012,204,4,7,18.5,7.1,240.0,1.575,5.54,720702.0,119500
6453,VW,Diesel,Automatisk,Touran,148000,2012,140,5,6,19.2,9.9,199.0,1.503,4.68,262280.0,89900
5968,Toyota,Diesel,Manuel,Yaris,175000,2012,90,5,6,25.6,10.8,175.0,1.162,2.18,124269.0,43750
1732,Kia,Benzin,Manuel,Picanto,180000,2012,69,5,5,23.3,14.4,153.0,820.0,660.0,127896.0,39900
18388,Citroën,Diesel,Automatisk,C5,264000,2012,112,4,6,21.7,13.8,190.0,1.425,3.88,326280.0,49700
9156,VW,Benzin,Manuel,UP!,73000,2012,60,3,5,22.2,14.4,160.0,829.0,660.0,89992.0,49900
8266,Skoda,Diesel,Manuel,Octavia,188000,2012,140,5,6,20.4,9.7,207.0,1.325,4.68,329001.0,74600
8858,Jaguar,Diesel,Automatisk,XF,106000,2012,190,4,8,18.5,8.5,225.0,1.745,5.54,794998.0,229900
8258,Hyundai,Benzin,Manuel,i20,174000,2012,78,5,5,19.6,12.9,165.0,1.103,1.28,123998.0,34900
1954,Citroën,Diesel,Automatisk,C3,207000,2012,70,5,5,29.4,16.2,165.0,1.22,1.22,181989.0,44900
9757,Audi,Diesel,Automatisk,A4,94000,2012,177,5,8,20.4,8.1,211.0,1.65,4.68,594768.0,159000
3295,VW,Diesel,Automatisk,Touran,212000,2012,140,5,6,19.2,9.9,199.0,1.503,4.68,449995.0,139900
2702,Fiat,Benzin,Manuel,Panda,112000,2012,65,5,5,26.3,15.0,157.0,975.0,660.0,99989.0,44990
17064,Audi,Benzin,Automatisk,A6,213000,2012,180,5,8,15.4,8.6,218.0,1.605,2.52,662110.0,209500
4501,Toyota,Benzin,Automatisk,Auris,95000,2012,136,5,5,26.3,10.9,180.0,1.285,660.0,289990.0,127900
10428,Subaru,Benzin,Manuel,XV,44000,2012,114,5,5,15.4,13.1,179.0,1.325,2.52,369702.0,139900
10437,Toyota,Diesel,Manuel,Avensis,186000,2012,124,5,6,21.7,10.0,200.0,1.485,3.88,370940.0,98000
4505,BMW,Diesel,Manuel,118d,179000,2012,143,5,6,22.7,8.9,212.0,1.295,3.02,342948.0,124900
10438,Porsche,Benzin,Automatisk,911,188000,2012,350,2,7,11.9,4.8,284.0,1.47,4.96,2214790.0,875000
2801,Renault,Diesel,Manuel,Twingo,148000,2012,75,3,5,29.4,13.5,170.0,1.055,1.22,119902.0,34900
9717,VW,Diesel,Automatisk,Sharan,167000,2012,170,5,6,16.9,9.8,240.0,1.703,6.38,612399.0,199800
1889,Citroën,Diesel,Manuel,C3,224000,2012,70,5,5,26.3,13.7,163.0,1.19,2.18,161990.0,27500
1887,Chevrolet,Benzin,Manuel,Cruze,70000,2012,141,5,5,15.2,10.0,200.0,1.31,3.14,199999.0,79900
4402,Peugeot,Benzin,Manuel,206+,122000,2012,75,5,5,16.7,15.0,173.0,975.0,1.88,134992.0,31900
1737,Audi,Diesel,Automatisk,Q5,213000,2012,240,5,7,13.3,6.5,225.0,1.865,8.94,1314796.0,229900
4398,Honda,Benzin,Automatisk,Accord,162000,2012,156,5,5,13.3,11.5,210.0,1.478,3.74,454998.0,119400
3122,BMW,Diesel,Manuel,316d,150000,2012,116,5,6,22.2,11.2,201.0,1.55,3.88,546159.0,114900
18234,Citroën,Diesel,Manuel,C4,175000,2012,92,5,5,23.8,12.9,180.0,1.18,3.02,235286.0,39900
4350,Peugeot,Diesel,Manuel,308,208000,2012,112,5,6,22.2,12.5,185.0,1.605,3.88,295990.0,34900
4351,Audi,Diesel,Automatisk,A5,92000,2012,204,2,8,20.4,7.1,235.0,1.54,4.68,722882.0,259900
3138,VW,Diesel,Automatisk,Touran,200000,2012,140,5,6,19.2,9.9,199.0,1.503,4.68,278435.0,66000
18241,Maserati,Benzin,Automatisk,Granturismo,78000,2012,440,2,6,6.6,5.0,295.0,1.78,14.22,2765000.0,1654
17270,Mercedes,Benzin,Automatisk,C63,170000,2012,457,5,7,8.1,4.6,250.0,1.695,10.52,1552400.0,2952
18242,Kia,Diesel,Manuel,Ceed,280000,2012,115,5,6,22.2,11.7,188.0,1.319,3.88,224995.0,39000
17263,Seat,Diesel,Automatisk,Altea,193000,2012,140,5,6,18.2,10.0,201.0,1.629,5.54,341901.0,64700
18243,BMW,Benzin,Automatisk,328i,120000,2012,245,4,8,15.8,6.1,250.0,1.43,2.52,638207.0,239700
18256,VW,Benzin,Manuel,Caddy,123000,2012,105,4,5,14.9,12.4,169.0,1.352,3.14,193501.0,109900
18257,BMW,Diesel,Automatisk,X5,198000,2012,306,5,8,13.3,6.6,236.0,2.085,8.94,1202703.0,3500
9178,Volvo,Diesel,Automatisk,V60,117000,2012,215,5,6,15.6,7.7,225.0,1.615,7.22,771807.0,179900
18258,BMW,Diesel,Automatisk,X5,198000,2012,306,5,8,13.3,6.6,236.0,2.085,8.94,1202703.0,349900
3873,Mercedes,Diesel,Automatisk,E200,435000,2012,136,4,7,19.6,9.5,207.0,1.635,4.68,696597.0,99500
8861,Peugeot,Benzin,Manuel,308,70000,2012,120,5,5,15.6,10.8,195.0,1.362,2.52,229990.0,69900
3859,Peugeot,Diesel,Automatisk,508,163000,2012,112,5,6,23.3,12.3,194.0,1.609,3.02,237564.0,49900
3130,Opel,Benzin,Manuel,Astra,127000,2012,140,5,6,17.2,10.5,200.0,1.337,1.88,290800.0,74900
10277,Porsche,Benzin,Automatisk,911,107000,2012,400,2,7,11.5,4.3,302.0,1.415,5.58,2255390.0,429900
18362,Citroën,Diesel,Manuel,C3,232000,2012,70,5,5,26.3,13.7,163.0,1.19,2.18,161990.0,39500
1657,Fiat,Benzin,Manuel,Panda,133000,2012,69,5,5,20.4,13.2,162.0,835.0,660.0,109991.0,32900
19777,Suzuki,Benzin,Manuel,Alto,149000,2012,68,5,5,23.3,14.0,155.0,930.0,660.0,108990.0,34800
3307,Chevrolet,Benzin,Manuel,Cruze,94000,2012,141,5,5,15.2,10.0,200.0,1.31,3.14,199999.0,47900
2802,VW,Diesel,Manuel,Polo,97421,2012,75,3,5,29.4,13.9,173.0,1.05,1.22,121112.0,39800
8980,Renault,Benzin,Manuel,Twingo,144000,2012,75,3,5,22.2,12.3,169.0,925.0,660.0,99900.0,29900
9112,Citroën,Benzin,Manuel,C4,95000,2012,95,5,5,16.4,11.9,182.0,1.175,2.52,179994.0,64800
8163,Mercedes,Diesel,Manuel,C220,116000,2012,170,5,6,21.3,8.5,219.0,1.555,3.88,568195.0,175000
16771,Citroën,Benzin,Manuel,C4,91000,2012,95,5,5,16.4,11.9,182.0,1.175,2.52,179994.0,59990
3042,Honda,Diesel,Manuel,Civic,123000,2012,150,5,6,22.7,8.8,217.0,1.338,3.02,289901.0,86900
8664,Citroën,Diesel,Manuel,DS3,147000,2012,92,3,5,27.8,11.3,182.0,1.085,2.18,242289.0,59800
19819,Peugeot,Diesel,Manuel,207,199000,2012,70,5,5,23.8,15.1,166.0,1.259,3.02,148987.0,29900
27,Chevrolet,Diesel,Manuel,Cruze,70000,2012,163,5,6,17.9,8.5,205.0,1.48,5.54,244995.0,69900
8161,Toyota,Benzin,Automatisk,Yaris,56000,2012,99,5,6,28.6,11.8,165.0,1.06,660.0,199996.0,109999
10586,Chevrolet,Benzin,Manuel,Spark,116000,2012,68,5,5,20.0,15.5,154.0,832.0,660.0,108996.0,36800
1565,Kia,Benzin,Manuel,Rio,105000,2012,86,5,5,20.8,13.1,168.0,1.046,660.0,139996.0,59800
19403,Skoda,Diesel,Automatisk,Octavia,229000,2012,105,5,7,21.3,12.1,189.0,1.295,3.88,328999.0,79799
3647,Peugeot,Diesel,Manuel,308,180000,2012,92,5,5,22.2,12.9,177.0,1.464,3.88,267990.0,42900
291,VW,Benzin,Manuel,UP!,146000,2012,60,3,5,22.2,14.4,160.0,829.0,660.0,97992.0,39900
10606,Mercedes,Diesel,Automatisk,C220,251000,2012,170,4,7,20.8,8.1,231.0,1.51,3.88,595109.0,138000
3636,Hyundai,Diesel,Manuel,ix20,145000,2012,90,5,6,23.3,14.5,167.0,1.396,3.02,259991.0,59900
19840,Peugeot,Diesel,Manuel,508,159000,2012,163,5,6,20.0,8.9,222.0,1.681,4.68,410990.0,89800
4686,Suzuki,Benzin,Manuel,Splash,64000,2012,68,5,5,21.3,14.7,160.0,950.0,660.0,109989.0,39900
24,Opel,Benzin,Manuel,Insignia,129000,2012,140,5,6,12.8,12.2,202.0,1.538,4.36,346175.0,89900
8170,Hyundai,Diesel,Manuel,i30,135000,2012,90,5,6,22.2,13.9,172.0,1.463,3.88,244995.0,54900
3664,Citroën,Diesel,Manuel,C3,113000,2012,90,5,5,27.8,12.5,182.0,1.246,2.18,198200.0,52900
16833,VW,Diesel,Manuel,The,178000,2012,105,2,5,22.2,11.5,180.0,1.361,3.88,294998.0,106900
4625,BMW,Diesel,Manuel,116d,165000,2012,116,3,6,23.26,10.3,200.0,1.285,3.02,297501.0,124900
45,Audi,Benzin,Manuel,A5,107000,2012,170,2,6,16.1,8.7,222.0,1.595,2.52,653000.0,239900
18521,BMW,Diesel,Automatisk,X1,182000,2012,143,5,8,20.0,9.9,202.0,1.47,4.68,533228.0,169900
8622,Citroën,Diesel,Manuel,C4,158000,2012,90,5,5,23.8,12.9,180.0,1.388,3.02,237285.0,59900
9980,Seat,Benzin,Manuel,Altea,122000,2012,125,5,6,15.4,10.5,194.0,1.375,2.52,279902.0,79800
3067,Seat,Benzin,Automatisk,Ibiza,148000,2012,105,5,7,18.9,10.0,190.0,1.065,1.28,230898.0,89500
3065,Peugeot,Benzin,Manuel,107,65000,2012,68,3,5,23.3,13.5,160.0,900.0,660.0,97491.0,39900
8631,Skoda,Diesel,Manuel,Fabia,164000,2012,75,5,5,29.4,14.2,172.0,1.103,1.22,184001.0,49900
18587,Honda,Diesel,Manuel,Accord,233000,2012,150,4,6,18.5,9.4,212.0,1.512,5.54,449999.0,79700
18592,Citroën,Diesel,Manuel,DS3,213000,2012,92,3,5,27.8,11.3,182.0,1.085,2.18,242289.0,49700
8316,Hyundai,Diesel,Manuel,i30,346000,2012,90,5,6,25.6,14.0,172.0,1.418,2.18,189995.0,24800
4569,Chevrolet,Benzin,Manuel,Spark,95000,2012,82,5,5,20.0,12.1,164.0,839.0,660.0,123996.0,39900
16893,Toyota,Diesel,Automatisk,RAV4,115000,2012,150,5,6,14.1,10.8,185.0,1.585,8.1,542881.0,174900
3706,Citroën,Diesel,Manuel,C3,180000,2012,70,5,5,27.8,16.2,165.0,1.22,2.18,149990.0,32900
3701,Honda,Benzin,Manuel,Civic,74000,2012,142,5,6,16.4,9.7,215.0,1.18,2.52,249896.0,99800
3700,Porsche,Benzin,Automatisk,Panamera,144000,2012,430,5,7,9.1,4.5,288.0,1.92,8.02,2494958.0,669000
4601,VW,Diesel,Manuel,Polo,75000,2012,90,5,5,27.0,11.5,180.0,1.065,2.18,203998.0,89900
1876,Renault,Benzin,Manuel,Clio,119000,2012,75,5,5,17.2,13.6,167.0,1.085,1.88,165900.0,51800
19804,BMW,Diesel,Automatisk,X6,98000,2012,245,5,8,13.5,7.5,222.0,2.05,8.94,1236999.0,419400
3681,Mercedes,Diesel,Manuel,C200,241000,2012,136,4,6,20.8,9.2,218.0,1.465,3.88,496801.0,109700
3670,VW,Diesel,Manuel,Touran,213000,2012,105,5,6,21.7,12.8,186.0,1.444,3.88,365901.0,89700
9296,Skoda,Diesel,Manuel,Superb,197000,2012,105,5,5,22.7,12.6,190.0,1.446,3.02,343998.0,89900
19860,Citroën,Diesel,Automatisk,Grand,185000,2012,112,5,6,20.4,13.5,182.0,1.635,4.68,397190.0,64900
8953,Chevrolet,Diesel,Manuel,Cruze,118000,2012,163,4,6,17.9,8.5,205.0,1.402,5.54,241492.0,64900
17331,Peugeot,Diesel,Manuel,308,158000,2012,92,5,5,22.2,12.9,177.0,1.464,3.88,244988.0,49900
8422,Porsche,Benzin,Automatisk,Cayenne,170000,2012,400,5,8,9.5,5.9,258.0,2.065,8.02,1570658.0,569500
8417,Peugeot,Diesel,Manuel,Partner,116000,2012,90,4,5,20.4,13.9,162.0,1.46,4.68,150697.0,49900
19652,Skoda,Benzin,Manuel,Rapid,123000,2012,86,5,6,20.4,11.8,183.0,1.155,660.0,185000.0,67900
9873,Audi,Diesel,Automatisk,A7,175000,2012,204,5,7,17.2,7.2,235.0,1.86,6.38,992922.0,2959
9872,Audi,Diesel,Automatisk,A7,175000,2012,204,5,7,17.2,7.2,235.0,1.86,6.38,992922.0,309500
368,Peugeot,Benzin,Manuel,3008,138000,2012,120,5,5,14.5,11.8,185.0,1.374,3.14,277989.0,99900
8932,Audi,Diesel,Automatisk,A6,88000,2012,245,5,7,16.9,6.3,243.0,1.79,6.38,878497.0,324900
9239,Ford,Diesel,Manuel,Focus,190000,2012,115,5,6,23.8,11.0,193.0,1.25,3.02,301099.0,74900
10112,Skoda,Diesel,Manuel,Octavia,235000,2012,105,5,5,22.2,11.9,189.0,1.43,3.88,298998.0,1299
10124,Volvo,Diesel,Manuel,V50,180000,2012,115,5,6,23.3,11.5,195.0,1.28,3.02,357002.0,74900
8510,Mitsubishi,Benzin,Manuel,Colt,93000,2012,95,5,5,19.6,10.6,180.0,950.0,1.28,154996.0,44900
17742,Peugeot,Benzin,Manuel,208,107000,2012,68,5,5,23.3,14.0,163.0,950.0,660.0,144990.0,54900
18095,Opel,Diesel,Manuel,Astra,166000,2012,125,5,6,22.2,11.7,192.0,1.418,3.88,335103.0,69900
19670,Suzuki,Benzin,Manuel,Splash,72000,2012,68,5,5,21.3,14.7,160.0,950.0,660.0,126990.0,49900
19565,Peugeot,Diesel,Manuel,308,158000,2012,92,5,5,23.8,12.4,181.0,1.35,3.02,252991.0,52499
9860,Citroën,Diesel,Automatisk,C3,42000,2012,70,5,5,29.4,16.2,165.0,1.22,1.22,181989.0,74900
10143,VW,Benzin,Manuel,Scirocco,52000,2012,160,3,6,15.2,8.0,218.0,1.246,3.14,314197.0,189900
3992,Renault,Benzin,Manuel,Clio,111000,2012,75,5,5,17.2,13.4,167.0,1.055,1.88,151902.0,44900
4183,Suzuki,Benzin,Manuel,Swift,134000,2012,94,5,5,20.4,12.3,165.0,1.035,660.0,154989.0,64900
4024,VW,Diesel,Manuel,Golf,226000,2012,105,5,5,24.4,11.3,190.0,1.214,3.02,292398.0,72500
17714,VW,Benzin,Automatisk,Polo,195000,2012,105,5,7,18.9,9.7,190.0,988.0,1.28,244095.0,89500
1645,VW,Diesel,Automatisk,Caddy,368000,2012,102,4,7,18.5,13.0,168.0,1.456,5.54,317295.0,94900
1643,Opel,Benzin,Manuel,Corsa,259000,2012,85,5,5,19.6,13.6,172.0,1.06,1.28,186001.0,25900
17927,Peugeot,Benzin,Manuel,208,83000,2012,68,5,5,23.3,14.0,163.0,950.0,660.0,144990.0,66800
2761,VW,Benzin,Manuel,Polo,113000,2012,60,5,5,18.2,16.1,157.0,1.067,1.28,139996.0,74900
19611,Peugeot,Benzin,Manuel,208,100000,2012,82,5,5,22.2,12.2,175.0,1.168,660.0,159990.0,54900
9973,Opel,Diesel,Automatisk,Astra,189000,2012,160,5,6,17.2,9.8,207.0,1.513,6.38,379401.0,94500
9985,Peugeot,Diesel,Manuel,308,242000,2012,112,5,6,20.4,12.5,185.0,1.605,4.68,295990.0,39900
17887,Fiat,Benzin,Manuel,500,73000,2012,85,3,5,25.0,11.0,173.0,905.0,660.0,183989.0,69400
2760,Nissan,Diesel,Manuel,Qashqai+2,199000,2012,110,5,6,18.9,13.2,174.0,1.405,4.68,328989.0,74700
387,Ford,Diesel,Manuel,Focus,174000,2012,115,5,6,23.8,11.0,193.0,1.25,3.02,327699.0,76500
19594,Hyundai,Benzin,Manuel,i30,65000,2012,135,5,6,20.0,9.9,190.0,1.168,660.0,229994.0,109900
8450,Mazda,Benzin,Manuel,2,77000,2012,84,5,5,20.0,13.6,172.0,1.078,660.0,149990.0,69900
4044,Citroën,Diesel,Manuel,DS4,74000,2012,112,5,6,21.3,11.3,190.0,1.428,3.88,356972.0,99900
19590,Audi,Diesel,Automatisk,Q5,210000,2012,240,5,7,13.3,6.5,225.0,1.865,8.94,767466.0,219800
10006,Opel,Benzin,Manuel,Insignia,5000,2012,140,4,6,17.5,11.4,207.0,1.47,1.88,330174.0,124800
9207,Audi,Benzin,Manuel,TT,132000,2012,211,2,6,15.2,6.1,245.0,1.26,3.14,637990.0,239900
17974,Ford,Benzin,Manuel,Focus,127000,2012,125,5,6,19.6,11.5,193.0,1.371,1.28,300999.0,84900
4035,Kia,Benzin,Manuel,Rio,78000,2012,86,5,5,20.8,13.1,168.0,1.046,660.0,119998.0,62900
8913,Toyota,Benzin,Manuel,Aygo,138000,2012,68,5,5,23.3,14.2,157.0,780.0,660.0,96992.0,39900
1628,Citroën,Benzin,Manuel,C1,180000,2012,68,5,5,23.3,13.7,157.0,805.0,660.0,101988.0,29900
17984,VW,Diesel,Manuel,Polo,172000,2012,90,5,5,23.3,12.5,176.0,1.121,3.02,248996.0,79900
4118,Audi,Diesel,Automatisk,Q5,167000,2012,240,5,7,13.3,6.5,225.0,1.865,8.94,469795.0,199900
17711,Skoda,Diesel,Manuel,Octavia,186000,2012,105,5,5,24.4,11.4,191.0,1.275,3.02,284001.0,79900
8516,Nissan,Benzin,Manuel,Qashqai,280000,2012,117,5,5,16.9,11.9,181.0,1.21,1.88,249989.0,69500
18135,BMW,Diesel,Manuel,116d,270000,2012,116,5,6,23.3,10.3,200.0,1.285,3.02,313948.0,94900
10209,BMW,Diesel,Automatisk,X1,90000,2012,177,5,6,16.1,8.6,205.0,1.56,6.38,680725.0,199500
8888,Kia,Benzin,Manuel,Picanto,215000,2012,69,5,5,24.4,14.4,153.0,820.0,660.0,94898.0,24500
17493,Renault,Benzin,Manuel,Clio,143000,2012,100,5,5,17.2,11.2,184.0,1.095,1.88,182898.0,44800
17490,Renault,Diesel,Manuel,Clio,212000,2012,75,5,5,25.0,15.2,165.0,1.194,2.18,180602.0,34900
4282,Renault,Diesel,Manuel,Grand,218000,2012,130,5,6,22.7,10.5,195.0,1.497,3.02,333898.0,78900
10216,Audi,Diesel,Manuel,A6,229000,2012,177,5,6,20.0,9.0,222.0,1.64,4.68,636212.0,149900
3928,Mazda,Diesel,Manuel,CX-7,119000,2012,173,5,6,13.3,11.3,200.0,1.775,8.94,623702.0,119900
10219,Opel,Benzin,Manuel,Zafira,129000,2012,140,5,6,15.9,10.7,202.0,1.74,2.52,331990.0,159900
3170,Skoda,Diesel,Automatisk,Octavia,239000,2012,140,5,6,18.9,9.6,207.0,1.33,4.68,344000.0,52000
3925,Citroën,Diesel,Automatisk,C4,125000,2012,163,5,6,14.7,10.6,190.0,1.753,8.1,425622.0,99900
17416,Mercedes,Benzin,Automatisk,SL63,25000,2012,537,2,7,10.1,4.3,250.0,1.685,6.82,3374902.0,7566
9794,BMW,Diesel,Automatisk,320d,239000,2012,184,4,8,22.7,7.6,230.0,1.405,3.02,564915.0,174500
17376,Ford,Diesel,Manuel,Focus,150000,2012,95,5,6,23.8,12.7,180.0,1.245,3.02,282599.0,69900
429,Mercedes,Diesel,Manuel,B180,109000,2012,109,5,6,22.7,10.9,190.0,1.475,3.02,357798.0,137500
4322,BMW,Diesel,Automatisk,525d,166000,2012,204,5,8,16.1,7.3,230.0,1.745,6.38,906565.0,2076
3912,VW,Diesel,Manuel,Touran,149000,2012,105,5,6,21.7,12.8,186.0,1.444,3.88,218125.0,56900
3911,Citroën,Diesel,Automatisk,C4,125000,2012,163,5,6,14.7,10.6,190.0,1.753,8.1,425622.0,1799
17368,Toyota,Benzin,Manuel,Avensis,170000,2012,132,4,6,15.4,10.4,200.0,1.34,2.52,264318.0,91900
18221,Peugeot,Diesel,Manuel,208,188000,2012,68,5,5,26.3,13.5,163.0,1.025,2.18,174990.0,53900
19698,Toyota,Benzin,Automatisk,Avensis,120000,2012,147,5,6,14.9,10.7,200.0,1.405,3.14,369393.0,139980
3957,Peugeot,Diesel,Manuel,508,178000,2012,140,4,6,20.8,9.8,210.0,1.618,3.88,407989.0,79900
3959,BMW,Diesel,Manuel,318d,203000,2012,143,5,6,22.2,9.6,210.0,1.48,3.88,590662.0,99900
17606,Audi,Benzin,Automatisk,TTS,56000,2012,272,2,7,12.7,5.4,250.0,1.475,4.36,1011484.0,2971
19545,Peugeot,Diesel,Automatisk,208,274000,2012,68,5,5,29.4,16.2,165.0,1.035,1.22,189991.0,42000
18142,Opel,Benzin,Manuel,Zafira,131000,2012,120,5,6,15.9,11.8,192.0,1.673,2.52,317990.0,129800
353,Toyota,Benzin,Manuel,Aygo,85000,2012,68,5,5,23.3,14.2,157.0,780.0,660.0,96992.0,39900
4193,Renault,Diesel,Manuel,Scenic,149000,2012,130,5,6,22.7,10.3,195.0,1.405,3.02,313898.0,79900
10164,Renault,Diesel,Manuel,Grand,137000,2012,130,5,6,22.7,11.1,195.0,1.609,3.02,351897.0,84700
17685,Honda,Benzin,Manuel,Jazz,125000,2012,90,5,5,18.9,12.6,177.0,1.119,1.28,179901.0,62900
3186,Mazda,Diesel,Automatisk,CX-5,189000,2012,150,5,6,18.9,10.0,198.0,1.537,4.68,429939.0,150000
18144,Mazda,Benzin,Manuel,3,40000,2012,105,5,5,15.9,12.2,184.0,1.293,2.52,245004.0,99900
10169,Renault,Diesel,Manuel,Grand,110000,2012,130,5,6,22.7,11.1,195.0,1.609,3.02,322502.0,89700
17322,Mercedes,Diesel,Automatisk,GL350,232000,2012,258,5,7,12.5,7.9,220.0,2.355,9.82,1640901.0,180000
17650,Hyundai,Diesel,Manuel,ix20,113000,2012,78,5,6,23.3,15.5,160.0,1.396,3.02,224991.0,57899
4224,Mini,Benzin,Automatisk,Cooper,109000,2012,184,2,6,16.7,7.6,220.0,1.23,1.88,537969.0,219900
10172,Ford,Diesel,Manuel,Focus,199000,2012,95,5,6,23.8,12.7,180.0,1.245,3.02,282599.0,58900
17632,BMW,Diesel,Automatisk,520d,230000,2012,184,5,8,19.2,8.3,220.0,1.69,4.68,792107.0,179900
1603,Mercedes,Diesel,Automatisk,Viano,239000,2012,224,4,5,11.6,9.1,201.0,2.155,11.48,967894.0,299800
3965,Porsche,Benzin,Automatisk,911,81000,2012,400,2,7,11.5,4.3,302.0,1.415,5.58,2255390.0,999900
1600,Fiat,Benzin,Manuel,500C,114000,2012,69,2,5,20.8,12.9,160.0,985.0,660.0,214991.0,59700
2743,BMW,Diesel,Manuel,320d,155000,2012,184,5,6,20.8,7.7,233.0,1.505,3.88,654264.0,114900
8536,Skoda,Diesel,Manuel,Superb,216000,2012,105,5,5,22.7,12.5,192.0,1.424,3.02,323998.0,69900
17607,Audi,Benzin,Automatisk,TTS,56000,2012,272,2,7,12.7,5.4,250.0,1.475,4.36,1011484.0,399800
3970,Renault,Diesel,Manuel,Clio,150000,2012,90,5,5,27.8,11.7,178.0,1.046,2.18,224302.0,59900
1555,Peugeot,Diesel,Manuel,Partner,234000,2012,90,5,5,18.2,15.3,160.0,1.614,5.54,245989.0,54900
19780,Volvo,Benzin,Manuel,V60,67000,2012,150,5,6,16.7,9.7,205.0,1.533,1.88,451402.0,214900
17922,Citroën,Diesel,Automatisk,Grand,167000,2012,112,5,6,19.2,13.5,181.0,1.702,4.68,365176.0,79900
9447,Opel,Diesel,Manuel,Meriva,188000,2012,95,5,5,24.4,14.5,165.0,1.36,3.02,261602.0,59800
1714,Renault,Diesel,Automatisk,Laguna,156000,2012,175,2,6,16.7,8.8,222.0,1.494,6.38,556898.0,139800
